date,event,count
2020-03-05,code,8
2020-03-05,users,38
2020-03-05,pr,302
2020-03-05,issue,367
2020-03-05,commits,6
2020-03-05,topics,0
2020-03-06,repositories,386
2020-03-06,code,12
2020-03-06,users,61
2020-03-06,pr,267
2020-03-06,issue,356
2020-03-06,commits,5
2020-03-06,topics,0
2020-03-07,repositories,225
2020-03-07,code,8
2020-03-07,users,24
2020-03-07,pr,220
2020-03-07,issue,147
2020-03-07,commits,5
2020-03-07,topics,0
2020-03-08,repositories,217
2020-03-08,code,13
2020-03-08,users,28
2020-03-08,pr,146
2020-03-08,issue,136
2020-03-08,commits,8
2020-03-08,topics,0
2020-03-09,repositories,365
2020-03-09,code,21
2020-03-09,users,34
2020-03-09,pr,271
2020-03-09,issue,357
2020-03-09,commits,8
2020-03-09,topics,0
2020-03-10,repositories,351
2020-03-10,code,16
2020-03-10,users,29
2020-03-10,pr,289
2020-03-10,issue,384
2020-03-10,commits,15
2020-03-10,topics,0
2020-03-11,repositories,348
2020-03-11,code,20
2020-03-11,users,25
2020-03-11,pr,267
2020-03-11,issue,367
2020-03-11,commits,17
2020-03-11,topics,0
2020-03-12,repositories,321
2020-03-12,code,15
2020-03-12,users,35
2020-03-12,pr,270
2020-03-12,issue,335
2020-03-12,commits,17
2020-03-12,topics,0
2020-03-13,repositories,274
2020-03-13,code,8
2020-03-13,users,20
2020-03-13,pr,358
2020-03-13,issue,306
2020-03-13,commits,14
2020-03-13,topics,0
2020-03-14,repositories,221
2020-03-14,code,12
2020-03-14,users,18
2020-03-14,pr,289
2020-03-14,issue,197
2020-03-14,commits,6
2020-03-14,topics,0
2020-03-15,repositories,234
2020-03-15,code,4
2020-03-15,users,18
2020-03-15,pr,176
2020-03-15,issue,153
2020-03-15,commits,10
2020-03-15,topics,0
2020-03-16,repositories,304
2020-03-16,code,10
2020-03-16,users,23
2020-03-16,pr,285
2020-03-16,issue,251
2020-03-16,commits,11
2020-03-16,topics,0
2020-03-17,repositories,298
2020-03-17,code,5
2020-03-17,users,18
2020-03-17,pr,298
2020-03-17,issue,338
2020-03-17,commits,11
2020-03-17,topics,0
2020-03-18,repositories,289
2020-03-18,code,11
2020-03-18,users,26
2020-03-18,pr,243
2020-03-18,issue,335
2020-03-18,commits,11
2020-03-18,topics,0
2020-03-19,repositories,323
2020-03-19,code,6
2020-03-19,users,28
2020-03-19,pr,273
2020-03-19,issue,320
2020-03-19,commits,6
2020-03-19,topics,0
2020-03-20,repositories,335
2020-03-20,code,7
2020-03-20,users,26
2020-03-20,pr,314
2020-03-20,issue,327
2020-03-20,commits,12
2020-03-20,topics,0
2020-03-21,repositories,207
2020-03-21,code,2
2020-03-21,users,19
2020-03-21,pr,180
2020-03-21,issue,203
2020-03-21,commits,7
2020-03-21,topics,0
2020-03-22,repositories,280
2020-03-22,code,4
2020-03-22,users,18
2020-03-22,pr,206
2020-03-22,issue,183
2020-03-22,commits,7
2020-03-22,topics,0
